"sid","group","instance","apical_class","n_px","cit","dha","cit_rel","dha_rel","cit_mtic","dha_mtic","cit_dha"
"AO_0h_sl6A_sec1a","0h",1,"basolateral_out",335,0.330662591756214,11.2657193165548,0.384500002545648,-0.18352704898887,0.0325423414970641,1.07977946254166,-5.09043578142375
"AO_0h_sl6A_sec2a","0h",1,"mixed",382,0.721555992976305,13.5155123393803,-0.0258012216922504,0,0.0601786574296975,1.1738887673774,-4.22736103899841
"AO_0h_sl6A_sec2a","0h",2,"basolateral_out",89,0.311207636173912,8.39175824846401,-1.23903511384923,-0.687571179717345,0.0351135417196036,0.912130290906391,-4.75302375143804
"AO_0h_sl6A_sec2a","0h",4,"basolateral_out",116,0.734576414011462,14.2885786726606,0,0.0802462125304792,0.05310395157882,1.06467657998583,-4.28180602983664
"AO_0h_sl6A_sec3a","0h",1,"basolateral_out",349,0.279704940602785,8.67127022230012,0,-0.302465513022902,0.0375783625510879,1.06404775307674,-4.95426570161357
"AO_0h_sl6A_sec3b","0h",2,"basolateral_out",209,0.19241779614968,8.17687528251614,-0.214260663833633,-0.0715964362082528,0.028775593359746,0.947053507194057,-5.40923549490929
"AO_0h_sl6A_sec5a","0h",6,"mixed",190,0.3376551429613,15.6260603695326,-1.181962370114,-0.0525127300841329,0.0271585412701589,1.25486809526398,-5.53225975082984
"AO_0h_sl6A_sec5b","0h",1,"mixed",528,0.612033989402994,13.3322699139172,0.677956968625742,0.168106491031038,0.0507135892634625,1.11882453519498,-4.44516684478419
"AO_0h_sl6A_sec5b","0h",6,"mixed",332,0.259375020161762,10.8412567824876,-0.560615263320345,-0.130283927302461,0.0257556979776942,1.04737444244234,-5.38534865839678
"AO_0h_sl6A_sec6a","0h",1,"mixed",501,0.399854234407273,10.8134895485567,0.0715103552997554,0.0380528003435049,0.0354380020699789,1.07171468298721,-4.75721418446679
"AO_20h_sl4A_sec1a","20h",1,"basolateral_out",274,0.143290261414165,13.9883705744975,-1.63234177768984,-0.0320231339465269,0.013087758342897,1.20678031258966,-6.6091435492071
"AO_20h_sl4A_sec1a","20h",10,"apical_out",90,0.501225840458721,16.2729750161942,0.174178454800153,0.186226972904187,0.0361710472290068,1.2713730647002,-5.02087342356782
"AO_20h_sl4A_sec1a","20h",16,"apical_out",123,1.22248107070326,19.2088785523053,1.46045788184549,0.425522239500115,0.0679238929012689,1.18458866901185,-3.97388926311841
"AO_20h_sl4A_sec1a","20h",17,"apical_out",141,0.804439068754974,14.6275448128353,0.85670081070014,0.0324365830740221,0.057303690503624,1.12984422597592,-4.18456067783767
"AO_20h_sl4A_sec2a","20h",5,"apical_out",71,1.32606879449765,23.2936274263526,0.0513394636473036,0.192747685042995,0.0742430922303202,1.46043126333101,-4.1347077949527
"AO_20h_sl4A_sec2b","20h",1,"apical_out",301,0.553751792364987,18.1864002583414,-0.0903591219640818,0.00715684440558039,0.0366732317606485,1.2227469494613,-5.0374767365266
"AO_20h_sl4A_sec2b","20h",2,"apical_out",121,1.25814373996823,20.4019614025009,1.09362626573615,0.173004690902885,0.0699074820554283,1.25181434176143,-4.01933919532367
"AO_20h_sl4A_sec3a","20h",4,"apical_out",399,1.10529898569031,12.976580756905,0.415019985010331,-0.223839145432183,0.0754073207801856,0.899087602687261,-3.5534017132705
"AO_20h_sl4A_sec3a","20h",6,"apical_out",106,1.93030561170354,19.9327291443483,1.21941258790226,0.395389816000897,0.12131746956767,1.31784253433602,-3.36823807181165
"AO_20h_sl4A_sec3b","20h",2,"apical_out",515,1.69275360284908,18.4385325617949,-0.0298560421573376,-0.0115310698093642,0.101830360769805,1.18143324826385,-3.44527994786473
"AO_20h_sl4A_sec3b","20h",5,"apical_out",36,2.53451481208158,19.7747483950283,0.552481563239372,0.0894044259479386,0.140467025693311,1.15294189965781,-2.96387783822533
"AO_20h_sl4A_sec3b","20h",6,"apical_out",89,2.72284348557148,23.2945545504209,0.65588602376383,0.325737830141205,0.154900225504803,1.37687848226739,-3.09680678189413
"AO_20h_sl4A_sec4a","20h",1,"basolateral_out",208,0.113135558840873,7.20793539549441,-0.52018253753844,-0.423987237613348,0.0214997242760398,0.95676955006437,-5.99346173134327
"AO_20h_sl4A_sec5b","20h",3,"mixed",273,0.489801909584136,13.4244130761545,0.156937526178981,-0.22071177492382,0.0387927187293164,1.0812275545337,-4.77651680529427
