"metric","scope","g1","g2","n1","n2","p","stars"
"cit","all","basolateral_out","apical_out",23,30,1.13409557355918e-10,"***"
"cit","all","basolateral_out","mixed",23,31,0.000141893882411864,"***"
"cit","all","apical_out","mixed",30,31,2.79371182903521e-05,"***"
"dha","all","basolateral_out","apical_out",23,30,9.62457346726324e-14,"***"
"dha","all","basolateral_out","mixed",23,31,1.92068758588923e-05,"***"
"dha","all","apical_out","mixed",30,31,6.94310785932653e-07,"***"
"cit_rel","all","basolateral_out","apical_out",23,30,0.000679887143046803,"***"
"cit_rel","all","basolateral_out","mixed",23,31,0.210721024206638,"ns"
"cit_rel","all","apical_out","mixed",30,31,0.0390911776502475,"*"
"dha_rel","all","basolateral_out","apical_out",23,30,3.94842278387973e-05,"***"
"dha_rel","all","basolateral_out","mixed",23,31,0.0467406555214295,"*"
"dha_rel","all","apical_out","mixed",30,31,0.0101974611575776,"*"
"cit_mtic","all","basolateral_out","apical_out",23,30,1.21969235932852e-08,"***"
"cit_mtic","all","basolateral_out","mixed",23,31,0.00423253039146952,"**"
"cit_mtic","all","apical_out","mixed",30,31,0.000112539877787061,"***"
"dha_mtic","all","basolateral_out","apical_out",23,30,1.50180333966779e-05,"***"
"dha_mtic","all","basolateral_out","mixed",23,31,0.0181760678066154,"*"
"dha_mtic","all","apical_out","mixed",30,31,0.00163324869365101,"**"
"cit_dha","all","basolateral_out","apical_out",23,30,1.4232203270687e-08,"***"
"cit_dha","all","basolateral_out","mixed",23,31,0.00216074483676415,"**"
"cit_dha","all","apical_out","mixed",30,31,0.000535263629808098,"***"
"grad_rho_out","all","basolateral_out","apical_out",23,30,0.559639919929038,"ns"
"grad_rho_out","all","basolateral_out","mixed",23,31,0.146408486892537,"ns"
"grad_rho_out","all","apical_out","mixed",30,31,0.52074516443967,"ns"
"grad_far_index","all","basolateral_out","apical_out",23,29,5.29176199150654e-08,"***"
"grad_far_index","all","basolateral_out","mixed",23,31,0.0292292052057007,"*"
"grad_far_index","all","apical_out","mixed",29,31,0.000247554495357744,"***"
"grad_near50","all","basolateral_out","apical_out",23,30,6.0744241186675e-05,"***"
"grad_near50","all","basolateral_out","mixed",23,31,0.1244127992343,"ns"
"grad_near50","all","apical_out","mixed",30,31,0.00426626303491777,"**"
"grad_near100","all","basolateral_out","apical_out",23,30,0.00103711354462436,"**"
"grad_near100","all","basolateral_out","mixed",23,31,0.229534924634587,"ns"
"grad_near100","all","apical_out","mixed",30,31,0.00681680571370616,"**"
