"metric","scope","g1","g2","n1","n2","p","stars"
"cit","all","basolateral_out","apical_out",23,30,1.13409557355918e-10,"***"
"cit","all","basolateral_out","mixed",23,31,0.000141893882411864,"***"
"cit","all","apical_out","mixed",30,31,2.79371182903521e-05,"***"
"cit","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"cit","0h","basolateral_out","mixed",19,16,0.0478825167617773,"*"
"cit","0h","apical_out","mixed",7,16,9.78964500299808e-05,"***"
"cit","20h","basolateral_out","apical_out",4,23,0.000797720797720798,"***"
"cit","20h","basolateral_out","mixed",4,15,0.00361197110423117,"**"
"cit","20h","apical_out","mixed",23,15,0.0444305695802457,"*"
"dha","all","basolateral_out","apical_out",23,30,9.62457346726324e-14,"***"
"dha","all","basolateral_out","mixed",23,31,1.92068758588923e-05,"***"
"dha","all","apical_out","mixed",30,31,6.94310785932653e-07,"***"
"dha","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"dha","0h","basolateral_out","mixed",19,16,0.0046589805469379,"**"
"dha","0h","apical_out","mixed",7,16,0.00107686095032979,"**"
"dha","20h","basolateral_out","apical_out",4,23,0.000455840455840456,"***"
"dha","20h","basolateral_out","mixed",4,15,0.0799793601651187,"ns"
"dha","20h","apical_out","mixed",23,15,0.00263698664243473,"**"
"cit_rel","all","basolateral_out","apical_out",23,30,0.000679887143046803,"***"
"cit_rel","all","basolateral_out","mixed",23,31,0.210721024206638,"ns"
"cit_rel","all","apical_out","mixed",30,31,0.0390911776502475,"*"
"cit_rel","0h","basolateral_out","apical_out",19,7,0.00447902867419188,"**"
"cit_rel","0h","basolateral_out","mixed",19,16,0.496948620587064,"ns"
"cit_rel","0h","apical_out","mixed",7,16,0.102603637668922,"ns"
"cit_rel","20h","basolateral_out","apical_out",4,23,0.0153320390014117,"*"
"cit_rel","20h","basolateral_out","mixed",4,15,0.133443956632764,"ns"
"cit_rel","20h","apical_out","mixed",23,15,0.198989628640933,"ns"
"dha_rel","all","basolateral_out","apical_out",23,30,3.94842278387973e-05,"***"
"dha_rel","all","basolateral_out","mixed",23,31,0.0467406555214295,"*"
"dha_rel","all","apical_out","mixed",30,31,0.0101974611575776,"*"
"dha_rel","0h","basolateral_out","apical_out",19,7,0.0128674610407289,"*"
"dha_rel","0h","basolateral_out","mixed",19,16,0.0134960578845925,"*"
"dha_rel","0h","apical_out","mixed",7,16,0.203146292628535,"ns"
"dha_rel","20h","basolateral_out","apical_out",4,23,0.00603988603988604,"**"
"dha_rel","20h","basolateral_out","mixed",4,15,0.581655981973745,"ns"
"dha_rel","20h","apical_out","mixed",23,15,0.00785950963308827,"**"
"cit_mtic","all","basolateral_out","apical_out",23,30,1.21969235932852e-08,"***"
"cit_mtic","all","basolateral_out","mixed",23,31,0.00423253039146952,"**"
"cit_mtic","all","apical_out","mixed",30,31,0.000112539877787061,"***"
"cit_mtic","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"cit_mtic","0h","basolateral_out","mixed",19,16,0.217343801546084,"ns"
"cit_mtic","0h","apical_out","mixed",7,16,0.000244741125074952,"***"
"cit_mtic","20h","basolateral_out","apical_out",4,23,0.00433048433048433,"**"
"cit_mtic","20h","basolateral_out","mixed",4,15,0.0196078431372549,"*"
"cit_mtic","20h","apical_out","mixed",23,15,0.107436709516936,"ns"
"dha_mtic","all","basolateral_out","apical_out",23,30,1.50180333966779e-05,"***"
"dha_mtic","all","basolateral_out","mixed",23,31,0.0181760678066154,"*"
"dha_mtic","all","apical_out","mixed",30,31,0.00163324869365101,"**"
"dha_mtic","0h","basolateral_out","apical_out",19,7,0.0125387655822438,"*"
"dha_mtic","0h","basolateral_out","mixed",19,16,0.021927121163044,"*"
"dha_mtic","0h","apical_out","mixed",7,16,0.174989904428591,"ns"
"dha_mtic","20h","basolateral_out","apical_out",4,23,0.303133903133903,"ns"
"dha_mtic","20h","basolateral_out","mixed",4,15,0.809597523219814,"ns"
"dha_mtic","20h","apical_out","mixed",23,15,0.01848869303084,"*"
"cit_dha","all","basolateral_out","apical_out",23,30,1.4232203270687e-08,"***"
"cit_dha","all","basolateral_out","mixed",23,31,0.00216074483676415,"**"
"cit_dha","all","apical_out","mixed",30,31,0.000535263629808098,"***"
"cit_dha","0h","basolateral_out","apical_out",19,7,5.77683186378839e-05,"***"
"cit_dha","0h","basolateral_out","mixed",19,16,0.142101205982927,"ns"
"cit_dha","0h","apical_out","mixed",7,16,0.00107686095032979,"**"
"cit_dha","20h","basolateral_out","apical_out",4,23,0.00307692307692308,"**"
"cit_dha","20h","basolateral_out","mixed",4,15,0.0139318885448916,"*"
"cit_dha","20h","apical_out","mixed",23,15,0.15342264050211,"ns"
"grad_rho_out","all","basolateral_out","apical_out",23,30,0.559639919929038,"ns"
"grad_rho_out","all","basolateral_out","mixed",23,31,0.146408486892537,"ns"
"grad_rho_out","all","apical_out","mixed",30,31,0.52074516443967,"ns"
"grad_rho_out","0h","basolateral_out","apical_out",19,7,0.685632076698482,"ns"
"grad_rho_out","0h","basolateral_out","mixed",19,16,0.39822050507787,"ns"
"grad_rho_out","0h","apical_out","mixed",7,16,0.97332973959244,"ns"
"grad_rho_out","20h","basolateral_out","apical_out",4,23,0.864452515276815,"ns"
"grad_rho_out","20h","basolateral_out","mixed",4,15,0.395117713236497,"ns"
"grad_rho_out","20h","apical_out","mixed",23,15,0.446139432348028,"ns"
"grad_far_index","all","basolateral_out","apical_out",23,29,5.29176199150654e-08,"***"
"grad_far_index","all","basolateral_out","mixed",23,31,0.0292292052057007,"*"
"grad_far_index","all","apical_out","mixed",29,31,0.000247554495357744,"***"
"grad_far_index","0h","basolateral_out","apical_out",19,7,0.00040133779264214,"***"
"grad_far_index","0h","basolateral_out","mixed",19,16,0.781122085400041,"ns"
"grad_far_index","0h","apical_out","mixed",7,16,0.00200687722561461,"**"
"grad_far_index","20h","basolateral_out","apical_out",4,22,0.0207357859531773,"*"
"grad_far_index","20h","basolateral_out","mixed",4,15,0.184726522187822,"ns"
"grad_far_index","20h","apical_out","mixed",22,15,0.134833375446916,"ns"
"grad_near50","all","basolateral_out","apical_out",23,30,6.0744241186675e-05,"***"
