"metric","scope","g1","g2","n1","n2","p","stars"
"cit","all","basolateral_out","apical_out",23,30,1.13409557355918e-10,"***"
"cit","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"cit","20h","basolateral_out","apical_out",4,23,0.000797720797720798,"***"
"dha","all","basolateral_out","apical_out",23,30,9.62457346726324e-14,"***"
"dha","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"dha","20h","basolateral_out","apical_out",4,23,0.000455840455840456,"***"
"cit_rel","all","basolateral_out","apical_out",23,30,0.000679887143046803,"***"
"cit_rel","0h","basolateral_out","apical_out",19,7,0.00447902867419188,"**"
"cit_rel","20h","basolateral_out","apical_out",4,23,0.0153320390014117,"*"
"dha_rel","all","basolateral_out","apical_out",23,30,3.94842278387973e-05,"***"
"dha_rel","0h","basolateral_out","apical_out",19,7,0.0128674610407289,"*"
"dha_rel","20h","basolateral_out","apical_out",4,23,0.00603988603988604,"**"
"cit_mtic","all","basolateral_out","apical_out",23,30,1.21969235932852e-08,"***"
"cit_mtic","0h","basolateral_out","apical_out",19,7,6.08087564609304e-06,"***"
"cit_mtic","20h","basolateral_out","apical_out",4,23,0.00433048433048433,"**"
"dha_mtic","all","basolateral_out","apical_out",23,30,1.50180333966779e-05,"***"
"dha_mtic","0h","basolateral_out","apical_out",19,7,0.0125387655822438,"*"
"dha_mtic","20h","basolateral_out","apical_out",4,23,0.303133903133903,"ns"
"cit_dha","all","basolateral_out","apical_out",23,30,1.4232203270687e-08,"***"
"cit_dha","0h","basolateral_out","apical_out",19,7,5.77683186378839e-05,"***"
"cit_dha","20h","basolateral_out","apical_out",4,23,0.00307692307692308,"**"
"grad_near50","all","basolateral_out","apical_out",23,30,6.0744241186675e-05,"***"
"grad_near50","0h","basolateral_out","apical_out",19,7,0.03,"*"
"grad_near50","20h","basolateral_out","apical_out",4,23,0.0107122507122507,"*"
