"metric","scope","g1","g2","n1","n2","p","stars"
"cit","all","basolateral_out","apical_out",23,30,1.13409557355918e-10,"***"
"dha","all","basolateral_out","apical_out",23,30,9.62457346726324e-14,"***"
"cit_rel","all","basolateral_out","apical_out",23,30,0.000679887143046803,"***"
"dha_rel","all","basolateral_out","apical_out",23,30,3.94842278387973e-05,"***"
"cit_mtic","all","basolateral_out","apical_out",23,30,1.21969235932852e-08,"***"
"dha_mtic","all","basolateral_out","apical_out",23,30,1.50180333966779e-05,"***"
"cit_dha","all","basolateral_out","apical_out",23,30,1.4232203270687e-08,"***"
"grad_rho_out","all","basolateral_out","apical_out",23,30,0.559639919929038,"ns"
"grad_far_index","all","basolateral_out","apical_out",23,29,5.29176199150654e-08,"***"
"grad_near50","all","basolateral_out","apical_out",23,30,6.0744241186675e-05,"***"
"grad_near100","all","basolateral_out","apical_out",23,30,0.00103711354462436,"**"
