"metric","scope","g1","g2","n1","n2","p","stars"
"cit","all","basolateral_out","apical_out",7,11,0.000251382604323781,"***"
"cit","all","basolateral_out","mixed",7,6,0.101398601398601,"ns"
"cit","all","apical_out","mixed",11,6,0.00193923723335488,"**"
"cit","0h","basolateral_out","apical_out",5,0,NA,""
"cit","0h","basolateral_out","mixed",5,5,0.420634920634921,"ns"
"cit","0h","apical_out","mixed",0,5,NA,""
"cit","20h","basolateral_out","apical_out",2,11,NA,""
"cit","20h","basolateral_out","mixed",2,1,NA,""
"cit","20h","apical_out","mixed",11,1,NA,""
"dha","all","basolateral_out","apical_out",7,11,0.000251382604323781,"***"
"dha","all","basolateral_out","mixed",7,6,0.234265734265734,"ns"
"dha","all","apical_out","mixed",11,6,0.00307045895281189,"**"
"dha","0h","basolateral_out","apical_out",5,0,NA,""
"dha","0h","basolateral_out","mixed",5,5,0.222222222222222,"ns"
"dha","0h","apical_out","mixed",0,5,NA,""
"dha","20h","basolateral_out","apical_out",2,11,NA,""
"dha","20h","basolateral_out","mixed",2,1,NA,""
"dha","20h","apical_out","mixed",11,1,NA,""
"cit_rel","all","basolateral_out","apical_out",7,11,0.00655977826648858,"**"
"cit_rel","all","basolateral_out","mixed",7,6,0.431401416947178,"ns"
"cit_rel","all","apical_out","mixed",11,6,0.0782159017453135,"ns"
"cit_rel","0h","basolateral_out","apical_out",5,0,NA,""
"cit_rel","0h","basolateral_out","mixed",5,5,1,"ns"
"cit_rel","0h","apical_out","mixed",0,5,NA,""
"cit_rel","20h","basolateral_out","apical_out",2,11,NA,""
"cit_rel","20h","basolateral_out","mixed",2,1,NA,""
"cit_rel","20h","apical_out","mixed",11,1,NA,""
"dha_rel","all","basolateral_out","apical_out",7,11,0.00282805429864253,"**"
"dha_rel","all","basolateral_out","mixed",7,6,0.180652680652681,"ns"
"dha_rel","all","apical_out","mixed",11,6,0.0615707821590175,"ns"
"dha_rel","0h","basolateral_out","apical_out",5,0,NA,""
"dha_rel","0h","basolateral_out","mixed",5,5,0.150793650793651,"ns"
"dha_rel","0h","apical_out","mixed",0,5,NA,""
"dha_rel","20h","basolateral_out","apical_out",2,11,NA,""
"dha_rel","20h","basolateral_out","mixed",2,1,NA,""
"dha_rel","20h","apical_out","mixed",11,1,NA,""
"cit_mtic","all","basolateral_out","apical_out",7,11,0.000754147812971342,"***"
"cit_mtic","all","basolateral_out","mixed",7,6,0.365967365967366,"ns"
"cit_mtic","all","apical_out","mixed",11,6,0.00711053652230123,"**"
"cit_mtic","0h","basolateral_out","apical_out",5,0,NA,""
"cit_mtic","0h","basolateral_out","mixed",5,5,1,"ns"
"cit_mtic","0h","apical_out","mixed",0,5,NA,""
"cit_mtic","20h","basolateral_out","apical_out",2,11,NA,""
"cit_mtic","20h","basolateral_out","mixed",2,1,NA,""
"cit_mtic","20h","apical_out","mixed",11,1,NA,""
"dha_mtic","all","basolateral_out","apical_out",7,11,0.0113750628456511,"*"
"dha_mtic","all","basolateral_out","mixed",7,6,0.101398601398601,"ns"
"dha_mtic","all","apical_out","mixed",11,6,0.0615707821590175,"ns"
"dha_mtic","0h","basolateral_out","apical_out",5,0,NA,""
"dha_mtic","0h","basolateral_out","mixed",5,5,0.0952380952380952,"ns"
"dha_mtic","0h","apical_out","mixed",0,5,NA,""
"dha_mtic","20h","basolateral_out","apical_out",2,11,NA,""
"dha_mtic","20h","basolateral_out","mixed",2,1,NA,""
"dha_mtic","20h","apical_out","mixed",11,1,NA,""
"cit_dha","all","basolateral_out","apical_out",7,11,0.00188536953242836,"**"
"cit_dha","all","basolateral_out","mixed",7,6,0.365967365967366,"ns"
"cit_dha","all","apical_out","mixed",11,6,0.0103425985778927,"*"
"cit_dha","0h","basolateral_out","apical_out",5,0,NA,""
"cit_dha","0h","basolateral_out","mixed",5,5,1,"ns"
"cit_dha","0h","apical_out","mixed",0,5,NA,""
"cit_dha","20h","basolateral_out","apical_out",2,11,NA,""
"cit_dha","20h","basolateral_out","mixed",2,1,NA,""
"cit_dha","20h","apical_out","mixed",11,1,NA,""
"grad_rho_out","all","basolateral_out","apical_out",7,11,0.00496930263366567,"**"
"grad_rho_out","all","basolateral_out","mixed",7,6,0.431401416947178,"ns"
"grad_rho_out","all","apical_out","mixed",11,6,0.0055651316217793,"**"
"grad_rho_out","0h","basolateral_out","apical_out",5,0,NA,""
"grad_rho_out","0h","basolateral_out","mixed",5,5,0.529619299003452,"ns"
"grad_rho_out","0h","apical_out","mixed",0,5,NA,""
"grad_rho_out","20h","basolateral_out","apical_out",2,11,NA,""
"grad_rho_out","20h","basolateral_out","mixed",2,1,NA,""
"grad_rho_out","20h","apical_out","mixed",11,1,NA,""
"grad_far_index","all","basolateral_out","apical_out",7,10,0.00308515014397367,"**"
"grad_far_index","all","basolateral_out","mixed",7,6,1,"ns"
"grad_far_index","all","apical_out","mixed",10,6,0.00024975024975025,"***"
"grad_far_index","0h","basolateral_out","apical_out",5,0,NA,""
"grad_far_index","0h","basolateral_out","mixed",5,5,0.222222222222222,"ns"
"grad_far_index","0h","apical_out","mixed",0,5,NA,""
"grad_far_index","20h","basolateral_out","apical_out",2,10,NA,""
"grad_far_index","20h","basolateral_out","mixed",2,1,NA,""
"grad_far_index","20h","apical_out","mixed",10,1,NA,""
"grad_near40","all","basolateral_out","apical_out",7,11,0.00282805429864253,"**"
"grad_near40","all","basolateral_out","mixed",7,6,0.234265734265734,"ns"
"grad_near40","all","apical_out","mixed",11,6,0.0145442792501616,"*"
"grad_near40","0h","basolateral_out","apical_out",5,0,NA,""
"grad_near40","0h","basolateral_out","mixed",5,5,0.841269841269841,"ns"
"grad_near40","0h","apical_out","mixed",0,5,NA,""
"grad_near40","20h","basolateral_out","apical_out",2,11,NA,""
"grad_near40","20h","basolateral_out","mixed",2,1,NA,""
"grad_near40","20h","apical_out","mixed",11,1,NA,""
"grad_near100","all","basolateral_out","apical_out",7,11,0.00414781297134238,"**"
"grad_near100","all","basolateral_out","mixed",7,6,0.234265734265734,"ns"
"grad_near100","all","apical_out","mixed",11,6,0.0365223012281836,"*"
"grad_near100","0h","basolateral_out","apical_out",5,0,NA,""
"grad_near100","0h","basolateral_out","mixed",5,5,0.841269841269841,"ns"
"grad_near100","0h","apical_out","mixed",0,5,NA,""
"grad_near100","20h","basolateral_out","apical_out",2,11,NA,""
"grad_near100","20h","basolateral_out","mixed",2,1,NA,""
"grad_near100","20h","apical_out","mixed",11,1,NA,""
