"sid","instance","group","apical_class","near50","cit_surf"
"AO_0h_sl6A_sec1a",1,"0h","basolateral_out",1.57975957779568e-05,2.3149760377031e-05
"AO_0h_sl6A_sec1b",1,"0h","basolateral_out",9.84211934190076e-06,1.86190981002322e-05
"AO_0h_sl6A_sec2a",2,"0h","basolateral_out",1.46158648682281e-05,3.34617876946226e-05
"AO_0h_sl6A_sec2a",3,"0h","apical_out",1.36915197415813e-05,0.000116545114920836
"AO_0h_sl6A_sec2a",4,"0h","basolateral_out",1.17171982436461e-05,5.67274619935601e-05
"AO_0h_sl6A_sec2a",6,"0h","basolateral_out",2.53380208624679e-05,3.39861068591649e-05
"AO_0h_sl6A_sec2a",7,"0h","apical_out",3.31734207838607e-05,0.00015796972251174
"AO_0h_sl6A_sec2a",8,"0h","apical_out",2.33842551737105e-05,0.000109638351489312
"AO_0h_sl6A_sec3a",1,"0h","basolateral_out",8.96715723645412e-06,1.39737171184093e-05
"AO_0h_sl6A_sec3a",3,"0h","basolateral_out",1.23030018873132e-05,1.11166299522256e-05
"AO_0h_sl6A_sec3a",5,"0h","apical_out",5.23645834319212e-06,3.83478206040519e-05
"AO_0h_sl6A_sec3b",1,"0h","basolateral_out",7.91885049592454e-06,1.0846236149664e-05
"AO_0h_sl6A_sec3b",2,"0h","basolateral_out",1.01263359306376e-05,7.35646556416092e-06
"AO_0h_sl6A_sec4a",1,"0h","basolateral_out",8.57448943133031e-06,1.19104805641842e-05
"AO_0h_sl6A_sec4a",3,"0h","basolateral_out",8.39379868469179e-06,1.44397431059741e-05
"AO_0h_sl6A_sec4b",2,"0h","basolateral_out",8.40723471936553e-06,2.03853860096302e-06
"AO_0h_sl6A_sec4b",4,"0h","basolateral_out",9.42673253725533e-06,7.01307580207237e-06
"AO_0h_sl6A_sec4b",5,"0h","basolateral_out",9.24797875328884e-06,4.7698896131269e-06
"AO_0h_sl6A_sec4b",6,"0h","basolateral_out",7.12714133914772e-06,2.24925757975561e-06
"AO_0h_sl6A_sec4b",7,"0h","basolateral_out",8.23868853124331e-06,1.60259020057616e-05
"AO_0h_sl6A_sec5a",3,"0h","basolateral_out",9.52611942877524e-06,7.47440590381253e-06
"AO_0h_sl6A_sec5a",4,"0h","apical_out",1.54211599462363e-05,2.91213754187526e-05
"AO_0h_sl6A_sec5a",5,"0h","apical_out",1.32511145852549e-05,3.05256926129752e-05
"AO_0h_sl6A_sec5a",7,"0h","apical_out",2.26138311802489e-05,3.01249299837369e-05
"AO_0h_sl6A_sec6a",3,"0h","basolateral_out",9.18425679710972e-06,1.10282319605577e-05
"AO_0h_sl6A_sec6a",4,"0h","basolateral_out",1.13911318358038e-05,1.29547753770513e-05
"AO_20h_sl4A_sec1a",1,"20h","basolateral_out",6.52877071406778e-06,9.37221181238202e-06
"AO_20h_sl4A_sec1a",3,"20h","apical_out",1.03542977309913e-05,2.03845549721281e-05
"AO_20h_sl4A_sec1a",4,"20h","apical_out",9.11025776975716e-06,3.04619364071016e-05
"AO_20h_sl4A_sec1a",6,"20h","apical_out",1.56514824852792e-05,3.104306925662e-05
"AO_20h_sl4A_sec1a",10,"20h","apical_out",6.92773837825145e-06,3.31972645506215e-05
"AO_20h_sl4A_sec1a",12,"20h","apical_out",1.33750053672272e-05,0.000115826681868166
"AO_20h_sl4A_sec1a",13,"20h","basolateral_out",1.18906689542214e-05,2.85174617829124e-05
"AO_20h_sl4A_sec1a",16,"20h","apical_out",8.85844277770152e-06,9.50789779557706e-05
"AO_20h_sl4A_sec1a",17,"20h","apical_out",1.52921793613525e-05,7.75922993944688e-05
"AO_20h_sl4A_sec2a",1,"20h","apical_out",1.63285182010721e-05,6.69423642299428e-05
"AO_20h_sl4A_sec2a",2,"20h","apical_out",1.96556360498877e-05,0.00015647276263188
"AO_20h_sl4A_sec2a",5,"20h","apical_out",2.68630126156704e-05,0.000121866148496581
"AO_20h_sl4A_sec2b",1,"20h","apical_out",1.1536648187557e-05,2.17723538800171e-05
"AO_20h_sl4A_sec2b",2,"20h","apical_out",1.56966095882178e-05,3.90284199873859e-05
"AO_20h_sl4A_sec2b",7,"20h","apical_out",1.20140879979495e-05,5.22016933566154e-05
"AO_20h_sl4A_sec3a",4,"20h","apical_out",2.4058973146912e-05,3.51537334845243e-05
"AO_20h_sl4A_sec3a",5,"20h","apical_out",1.6130476113081e-05,3.9691783652688e-05
"AO_20h_sl4A_sec3a",6,"20h","apical_out",1.65981800414497e-05,0.000127694943526268
"AO_20h_sl4A_sec3a",8,"20h","apical_out",2.94238289553838e-05,3.86616136252307e-05
"AO_20h_sl4A_sec3b",2,"20h","apical_out",2.74371154164265e-05,0.000109429192854599
"AO_20h_sl4A_sec3b",3,"20h","apical_out",3.07048196011352e-05,0.000157575150405785
"AO_20h_sl4A_sec3b",5,"20h","apical_out",1.26542407460906e-05,0.000367091272753508
"AO_20h_sl4A_sec3b",6,"20h","apical_out",2.10347846488427e-05,0.000266936879883533
"AO_20h_sl4A_sec4a",1,"20h","basolateral_out",7.34043488322044e-06,6.17244943461415e-06
"AO_20h_sl4A_sec4b",1,"20h","basolateral_out",9.27222029719753e-06,9.78591274383907e-06
"AO_20h_sl4A_sec5b",4,"20h","apical_out",9.90298904603824e-06,4.66328461949638e-06
"AO_20h_sl4A_sec5b",5,"20h","apical_out",1.31582196875016e-05,3.98323971842098e-05
