"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",1,10,0.497993335583224,1.152842638811e-05,3.0356601689903e-06,1.0233191564758e-06,0.272268197040161,2.33365033754153
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",2,20,0.625725628607634,1.44853983640338e-05,5.28807850906781e-06,1.28579436048506e-06,0.159525832668357,1.36731912614161
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",3,50,0.776298889786986,1.79711332795239e-05,8.53238463734133e-06,1.59520513289512e-06,0.0736765227786413,0.63149219820889
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",4,80,0.67844717424741,1.57058895123013e-05,8.9650464891128e-06,1.39413108661617e-06,0.044087573596722,0.377881008960445
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",5,160,0.837068871379886,1.93779437915161e-05,1.09728208996508e-05,1.72008047129672e-06,0.0341408218001372,0.292625951851745
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",6,250,0.814615304761031,1.88581491046799e-05,1.2528163546588e-05,1.6739409685956e-06,0.0188264543701532,0.161364280048976
"AO_0h_sl6A_sec1a",1,"AO_0h_sl6A_sec1a 1","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",1,10,0.679534336555918,1.0518487466199e-05,3.02795231505106e-06,8.21676658684337e-07,0.301505054149502,2.75470868878904
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",2,20,0.940337419793547,1.45554489773489e-05,5.17836173633188e-06,1.13703350598566e-06,0.192871976576316,1.76217977903364
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",3,50,0.407908473959865,6.31400054403303e-06,2.51746603834966e-06,4.93233165569093e-07,0.158755973193663,1.45047803589022
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",4,80,0.428609901487009,6.63443719346018e-06,2.98942172896286e-06,5.18264836355164e-07,0.135319972115433,1.23635440873318
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",5,160,1.16291250669653,1.8000680713162e-05,7.86200761799181e-06,1.40616597490508e-06,0.0986576776794754,0.901388411832857
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",6,250,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec1a",2,"AO_0h_sl6A_sec1a 2","mixed",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",1,10,0.736506781605507,1.37130920181992e-05,3.06346448906864e-06,1.34993262241197e-06,0.323343460808368,2.80595078722716
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",2,20,0.426631908267487,7.94350135272159e-06,2.82161968721026e-06,7.81967451103027e-07,0.167750626844013,1.45572761012096
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",3,50,0.500339902851364,9.31587773465018e-06,5.40690585054632e-06,9.17065767787144e-07,0.053437970090417,0.463730776766481
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",4,80,0.479614981854374,8.92999839748765e-06,7.04276818679067e-06,8.79079359990924e-07,0.0292572748092367,0.25389248039178
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",5,160,0.363663590764397,6.77108807192498e-06,5.8962132573179e-06,6.66553733132204e-07,0.0152313785885766,0.132176783888945
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",6,250,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec1b",1,"AO_0h_sl6A_sec1b 1","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",1,10,0.520965492405836,1.19277845825677e-05,2.89937941986225e-06,8.82525522011733e-07,0.31866335481569,3.06818079941669
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",2,20,0.889829875296272,2.03731326208432e-05,5.80355549502075e-06,1.50738885136316e-06,0.218162404734461,2.10052926150858
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",3,50,0.488426635015596,1.11827899770299e-05,4.5265978940181e-06,8.27404074386913e-07,0.124563606474619,1.19933359112651
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",4,80,0.619592892336085,1.41859118433082e-05,6.43223364372984e-06,1.04960222647088e-06,0.0860315418505296,0.82833598799799
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",5,160,0.516715624001994,1.18304815642983e-05,6.08427894402498e-06,8.7532616353933e-07,0.0660186952417731,0.635646647417324
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",6,250,0.499779788108922,1.14427265110309e-05,7.28563166689026e-06,8.46636533170116e-07,0.0596589731846962,0.574413446893103
"AO_0h_sl6A_sec2a",1,"AO_0h_sl6A_sec2a 1","mixed",7,500,0.448310296534343,1.02643048746174e-05,7.66307239168985e-06,7.59446228664978e-07,0.0417172555700256,0.401665521340986
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",1,10,0.62071702295739,2.07703012406384e-05,4.64045366932886e-06,2.47508336461433e-06,0.298846740105899,2.41154893532242
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",2,20,0.333796116320919,1.11694147776201e-05,3.80517303145464e-06,1.33099815877853e-06,0.118645351859084,0.957410717799164
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",3,50,0.397103417681123,1.32877902552548e-05,6.37179331107038e-06,1.58343339522286e-06,0.0624912135100215,0.504273927678436
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",4,80,0.287459723369189,9.61891623413475e-06,5.75547450758696e-06,1.14623371519256e-06,0.0339328282219921,0.273821543919891
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",5,160,0.241226933844888,8.0718844465424e-06,5.22933081062426e-06,9.61882385973148e-07,0.0184004716496231,0.148482924057845
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",6,250,0.209571439321398,7.01263500942909e-06,5.18499858210243e-06,8.35657415502009e-07,0.00630541824855608,0.0508816815558358
"AO_0h_sl6A_sec2a",2,"AO_0h_sl6A_sec2a 2","basolateral_out",7,500,0.656478549457807,2.19669458480309e-05,2.07217868584079e-05,2.61768096716224e-06,0.00624186184162087,0.0503688120313993
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",1,10,0.0895387942530501,1.04353090660948e-05,2.11375607372222e-06,7.82492761910183e-07,0.266588664026268,3.20185947891839
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",2,20,0.0965520511499052,1.12526698971081e-05,2.74617549946363e-06,8.43782650890554e-07,0.184886148813762,2.22057254483158
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",3,50,0.13065077827624,1.5226709968701e-05,5.38825027381793e-06,1.14177646898129e-06,0.121696220861702,1.4616307851567
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",4,80,0.117421849210106,1.36849429104089e-05,5.48600684892305e-06,1.02616690188328e-06,0.0865781850760523,1.03984609985515
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",5,160,0.100367213746899,1.16973084604164e-05,5.07288129594053e-06,8.77123920923978e-07,0.0706113815383387,0.848077025794976
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",6,250,0.16384930330618,1.90958358835175e-05,9.91112593107786e-06,1.4319032878505e-06,0.0461387524349188,0.554148850885339
"AO_0h_sl6A_sec2a",3,"AO_0h_sl6A_sec2a 3","apical_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",1,10,0.154055053182906,8.7391521743492e-06,1.80891116599314e-06,6.11618018457668e-07,0.24393081227184,2.81642676381596
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",2,20,0.318815014374314,1.80855666108952e-05,4.93602144704683e-06,1.26573587375066e-06,0.127305503421271,1.46987018030819
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",3,50,0.18368634434599,1.04200601176231e-05,4.64960726346439e-06,7.29257986839558e-07,0.0731549259363997,0.844647256299223
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",4,80,0.298235040598144,1.69181169306791e-05,9.72952196761511e-06,1.1840307785861e-06,0.0424818828986304,0.490496099523752
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",5,160,0.162398747446296,9.21246877356154e-06,5.88421439767351e-06,6.44743538501029e-07,0.041974593089346,0.484638928047245
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",6,250,0.102735064373328,5.82789945964391e-06,3.80434478305483e-06,4.07871181112986e-07,0.0407945057028004,0.471013631315954
"AO_0h_sl6A_sec2a",4,"AO_0h_sl6A_sec2a 4","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",1,10,0.643420424727767,2.18673553101671e-05,4.21151060344851e-06,2.1827852043266e-06,0.3030199988336,3.19023036695729
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",2,20,0.76368627128276,2.5954723222693e-05,6.26424702767915e-06,2.59078361463059e-06,0.175409668581371,1.84673372556344
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",3,50,0.772969406780416,2.62702208577045e-05,9.28593529796314e-06,2.62227638364335e-06,0.135681233960146,1.42846806967216
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",4,80,0.218295973838308,7.41903029379417e-06,2.98685355943858e-06,7.40562785304692e-07,0.107113405460495,1.1277025942962
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",5,160,0.456491548948975,1.55143705628855e-05,7.63381144405447e-06,1.54863439308372e-06,0.0824919392288546,0.868484887367462
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",6,250,0.211668359614456,7.19378348856103e-06,3.74448017641134e-06,7.18078795502955e-07,0.0614631497907018,0.647091306401917
"AO_0h_sl6A_sec2a",6,"AO_0h_sl6A_sec2a 6","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec2a",7,"AO_0h_sl6A_sec2a 7","apical_out",1,10,0.161749771662947,2.55515665459331e-05,6.05257939922049e-06,1.57635038659082e-06,0.195871962436099,3.01622988143606
"AO_0h_sl6A_sec2a",7,"AO_0h_sl6A_sec2a 7","apical_out",2,20,0.211567482471781,3.34212564985747e-05,1.02844427112846e-05,2.06185442709244e-06,0.118785852218431,1.82918184153062
"AO_0h_sl6A_sec2a",7,"AO_0h_sl6A_sec2a 7","apical_out",3,50,0.222255274117962,3.51096039791851e-05,1.23652147898459e-05,2.16601348908089e-06,0.0928530599634122,1.42984310036607
"AO_0h_sl6A_sec2a",7,"AO_0h_sl6A_sec2a 7","apical_out",4,80,0.150760150743823,2.38155391788299e-05,9.37187716899969e-06,1.46924981385897e-06,0.09271205761457,1.42767180697297
