"sid","instance","apical_class"
"AO_0h_sl6A_sec1a","1","basolateral_out"
"AO_0h_sl6A_sec2a","1","mixed"
"AO_0h_sl6A_sec2a","2","basolateral_out"
"AO_0h_sl6A_sec2a","4","basolateral_out"
"AO_0h_sl6A_sec3a","1","basolateral_out"
"AO_0h_sl6A_sec3b","2","basolateral_out"
"AO_0h_sl6A_sec5a","6","mixed"
"AO_0h_sl6A_sec5b","1","mixed"
"AO_0h_sl6A_sec5b","6","mixed"
"AO_0h_sl6A_sec6a","1","mixed"
"AO_20h_sl4A_sec1a","1","basolateral_out"
"AO_20h_sl4A_sec1a","10","apical_out"
"AO_20h_sl4A_sec1a","16","apical_out"
"AO_20h_sl4A_sec1a","17","apical_out"
"AO_20h_sl4A_sec2a","5","apical_out"
"AO_20h_sl4A_sec2b","1","apical_out"
"AO_20h_sl4A_sec2b","2","apical_out"
"AO_20h_sl4A_sec3a","4","apical_out"
"AO_20h_sl4A_sec3a","6","apical_out"
"AO_20h_sl4A_sec3b","2","apical_out"
"AO_20h_sl4A_sec3b","5","apical_out"
"AO_20h_sl4A_sec3b","6","apical_out"
"AO_20h_sl4A_sec4a","1","basolateral_out"
"AO_20h_sl4A_sec5b","3","mixed"
