page	type	rt	x_left	y_bot_pdfcoord	x_right	y_top_pdfcoord	contents
3	/Text		511.639	469.659	535.639	493.659	mix
3	/Popup		1008.0	401.659	1192.0	493.659	
3	/Text		406.342	307.444	430.342	331.444	top pick
3	/Popup		1008.0	239.444	1192.0	331.444	
4	/Text		506.659	349.421	530.659	373.421	in
4	/Popup		1008.0	281.421	1192.0	373.421	
5	/Text		288.95	252.662	312.95	276.662	mix
5	/Popup		1008.0	184.662	1192.0	276.662	
5	/Text		461.248	473.038	485.248	497.038	out
5	/Popup		1008.0	405.038	1192.0	497.038	
5	/Text		460.694	352.233	484.694	376.233	out
5	/Popup		1008.0	284.233	1192.0	376.233	
5	/Text		541.601	394.348	565.601	418.348	out
5	/Popup		1008.0	326.348	1192.0	418.348	
5	/Text		659.635	398.782	683.635	422.782	in
5	/Popup		1008.0	330.782	1192.0	422.782	
5	/Text		637.569	308.867	661.569	332.867	top pick
5	/Popup		1008.0	240.867	1192.0	332.867	
5	/Text		744.289	380.726	768.289	404.726	top pick
5	/Popup		1008.0	312.726	1192.0	404.726	
5	/Text		303.18	207.839	327.18	231.839	top pick
5	/Popup		1008.0	139.839	1192.0	231.839	
6	/Text		697.332	400.647	721.332	424.647	in
6	/Popup		1008.0	332.647	1192.0	424.647	
6	/Text		508.082	186.495	532.082	210.495	out
6	/Popup		1008.0	118.495	1192.0	210.495	
6	/Text		547.924	335.903	571.924	359.903	top pick
6	/Popup		1008.0	267.903	1192.0	359.903	
7	/Text		618.359	397.089	642.359	421.089	top pick
7	/Popup		1008.0	329.089	1192.0	421.089	
8	/Text		414.168	207.128	438.168	231.128	in
8	/Popup		1008.0	139.128	1192.0	231.128	
9	/Text		519.465	531.556	543.465	555.556	in
9	/Popup		1008.0	463.556	1192.0	555.556	
9	/Text		589.9	410.607	613.9	434.607	in
9	/Popup		1008.0	342.607	1192.0	434.607	
9	/Text		405.631	349.421	429.631	373.421	in
9	/Popup		1008.0	281.421	1192.0	373.421	
9	/Text		390.69	212.819	414.69	236.819	in
9	/Popup		1008.0	144.819	1192.0	236.819	
9	/Text		643.972	203.57	667.972	227.57	mix
9	/Popup		1008.0	135.57	1192.0	227.57	
10	/Text		528.003	414.164	552.003	438.164	
10	/Popup		840.242	292.936	1024.24	413.358	
10	/Text		528.003	414.164	552.003	438.164	mix
10	/Popup		1008.0	346.164	1192.0	438.164	
10	/Text		417.014	356.536	441.014	380.536	out
10	/Popup		1008.0	288.536	1192.0	380.536	
10	/Text		313.14	430.528	337.14	454.528	out
10	/Popup		1008.0	362.528	1192.0	454.528	
10	/Text		272.586	325.943	296.586	349.943	out
10	/Popup		1008.0	257.943	1192.0	349.943	
10	/Text		550.77	438.354	574.77	462.354	top pick
10	/Popup		1008.0	370.354	1192.0	462.354	
11	/Text		603.418	462.544	627.418	486.544	mix
11	/Popup		1008.0	394.544	1192.0	486.544	
11	/Text		454.722	178.669	478.722	202.669	mix
11	/Popup		1008.0	110.669	1192.0	202.669	
11	/Text		487.449	267.602	511.449	291.602	mix
11	/Popup		1008.0	199.602	1192.0	291.602	
11	/Text		375.038	186.495	399.038	210.495	mix
11	/Popup		1008.0	118.495	1192.0	210.495	
11	/Text		530.137	480.331	554.137	504.331	mix
11	/Popup		1008.0	412.331	1192.0	504.331	
11	/Text		615.513	500.252	639.513	524.252	top pick
11	/Popup		1008.0	432.252	1192.0	524.252	
11	/Text		459.702	212.819	483.702	236.819	top pick
11	/Popup		1008.0	144.819	1192.0	236.819	
12	/Text		372.192	470.37	396.192	494.37	in
12	/Popup		1008.0	402.37	1192.0	494.37	
12	/Text		685.948	212.819	709.948	236.819	mix
12	/Popup		1008.0	144.819	1192.0	236.819	
12	/Text		672.431	436.22	696.431	460.22	mix
12	/Popup		1008.0	368.22	1192.0	460.22	
12	/Text		445.473	403.492	469.473	427.492	mix
12	/Popup		1008.0	335.492	1192.0	427.492	
12	/Text		666.027	246.258	690.027	270.258	top pick
12	/Popup		840.242	175.616	1024.24	270.353	
13	/Text		505.901	447.154	529.901	471.154	mix
13	/Popup		1008.0	367.786	1192.0	459.786	
13	/Text		649.903	293.679	673.903	317.679	mix
13	/Popup		1008.0	216.205	1192.0	308.205	
13	/Text		433.9	176.204	457.9	200.204	mix
13	/Popup		1008.0	108.204	1192.0	200.204	
13	/Text		341.689	424.417	365.689	448.417	in
13	/Popup		1008.0	356.417	1192.0	448.417	
13	/Text		612.008	358.101	636.008	382.101	out
13	/Popup		1008.0	290.101	1192.0	382.101	
13	/Text		656.778	207.839	680.778	231.839	top pick
13	/Popup		1008.0	139.839	1192.0	231.839	
13	/Text		497.41	202.147	521.41	226.147	top pick
13	/Popup		1008.0	134.147	1192.0	226.147	
13	/Text		335.196	306.022	359.196	330.022	top pick
13	/Popup		1008.0	238.022	1192.0	330.022	
13	/Text		574.248	418.433	598.248	442.433	top pick
13	/Popup		1008.0	350.433	1192.0	442.433	
14	/Text		535.586	360.627	559.586	384.627	mix
14	/Popup		1008.0	292.627	1192.0	384.627	
15	/Text		569.979	388.552	593.979	412.552	out
15	/Popup		1008.0	320.552	1192.0	412.552	
15	/Text		672.431	485.311	696.431	509.311	top pick
15	/Popup		1008.0	417.311	1192.0	509.311	
16	/Text		693.063	212.819	717.063	236.819	out
16	/Popup		840.242	130.388	1024.24	236.914	
16	/Text		611.244	308.156	635.244	332.156	mix
16	/Popup		1008.0	240.156	1192.0	332.156	
16	/Text		397.805	222.069	421.805	246.069	out
16	/Popup		1008.0	154.069	1192.0	246.069	
16	/Text		511.639	515.904	535.639	539.904	mix
16	/Popup		1008.0	447.904	1192.0	539.904	
16	/Text		577.094	451.161	601.094	475.161	out
16	/Popup		1008.0	383.161	1192.0	475.161	
16	/Text		288.95	448.315	312.95	472.315	mix
16	/Popup		1008.0	380.315	1192.0	472.315	
16	/Text		675.988	236.298	699.988	260.298	top pick
16	/Popup		1008.0	168.298	1192.0	260.298	
16	/Text		404.208	195.033	428.208	219.033	
16	/Popup		840.242	85.1884	1024.24	205.61	
16	/Text		404.208	195.033	428.208	219.033	top pick
16	/Popup		1008.0	127.033	1192.0	219.033	
17	/Text		369.346	394.243	393.346	418.243	mix
17	/Popup		1008.0	326.243	1192.0	418.243	
17	/Text		559.307	226.337	583.307	250.337	mix
17	/Popup		1008.0	158.337	1192.0	250.337	
17	/Text		578.517	127.444	602.517	151.444	top pick
17	/Popup		1008.0	59.4435	1192.0	151.444	
17	/Text		404.208	492.426	428.208	516.426	top pick
17	/Popup		1008.0	424.426	1192.0	516.426	
18	/Text		468.24	389.263	492.24	413.263	out
18	/Popup		1008.0	321.263	1192.0	413.263	
18	/Text		385.71	183.649	409.71	207.649	
18	/Popup		840.242	110.801	1024.24	231.223	
18	/Text		385.71	183.649	409.71	207.649	mix
18	/Popup		1008.0	115.649	1192.0	207.649	
18	/Text		556.462	294.638	580.462	318.638	top pick
18	/Popup		1008.0	226.638	1192.0	318.638	
18	/Text		562.153	228.472	586.153	252.472	
18	/Popup		840.242	116.493	1024.24	236.914	
18	/Text		562.153	228.472	586.153	252.472	top pick
18	/Popup		1008.0	160.472	1192.0	252.472	
18	/Text		425.552	417.722	449.552	441.722	top pick
18	/Popup		1008.0	349.722	1192.0	441.722	
19	/Text		625.474	442.623	649.474	466.623	mix
19	/Popup		1008.0	374.623	1192.0	466.623	
19	/Text		374.326	283.255	398.326	307.255	top pick
19	/Popup		1008.0	215.255	1192.0	307.255	
20	/Text		499.544	366.496	523.544	390.496	in
20	/Popup		1008.0	298.496	1192.0	390.496	
