page	type	rt	x_left	y_bot_pdfcoord	x_right	y_top_pdfcoord	contents
2	/Text		386.495	296.316	410.495	320.316	In
2	/Popup		1008.0	228.316	1192.0	320.316	
2	/Text		518.385	456.467	542.385	480.467	In
2	/Popup		1008.0	388.467	1192.0	480.467	
3	/Text		539.111	340.593	563.111	364.593	In
3	/Popup		1008.0	272.593	1192.0	364.593	
4	/Text		314.898	231.313	338.898	255.313	In
4	/Popup		1008.0	163.313	1192.0	255.313	
4	/Text		646.506	313.273	670.506	337.273	In
4	/Popup		1008.0	245.273	1192.0	337.273	
4	/Text		478.818	370.739	502.818	394.739	Mixed
4	/Popup		1008.0	302.739	1192.0	394.739	
4	/Text		538.169	407.48	562.169	431.48	Mixed
4	/Popup		1008.0	339.48	1192.0	431.48	
4	/Text		474.108	468.714	498.108	492.714	Mixed
4	/Popup		1008.0	400.714	1192.0	492.714	
4	/Text		801.948	402.769	825.948	426.769	Mixed
4	/Popup		1008.0	334.769	1192.0	426.769	
4	/Text		654.043	404.654	678.043	428.654	In
4	/Popup		1008.0	336.654	1192.0	428.654	
4	/Text		727.524	406.538	751.524	430.538	In
4	/Popup		1008.0	338.538	1192.0	430.538	
4	/Text		194.313	250.154	218.313	274.154	Mixed
4	/Popup		1008.0	182.154	1192.0	274.154	
5	/Text		702.089	401.827	726.089	425.827	In
5	/Popup		1008.0	333.827	1192.0	425.827	
5	/Text		531.574	347.187	555.574	371.187	In
5	/Popup		1008.0	279.187	1192.0	371.187	
5	/Text		511.791	186.094	535.791	210.094	Mixed
5	/Popup		1008.0	118.094	1192.0	210.094	
5	/Text		236.706	379.218	260.706	403.218	Mixed
5	/Popup		1008.0	311.218	1192.0	403.218	
5	/Text		456.208	557.269	480.208	581.269	In
5	/Popup		1008.0	489.269	1192.0	581.269	
6	/Text		644.622	393.349	668.622	417.349	In
6	/Popup		1008.0	325.349	1192.0	417.349	
6	/Text		499.544	266.169	523.544	290.169	In
6	/Popup		1008.0	198.169	1192.0	290.169	
7	/Text		547.589	443.278	571.589	467.278	In
7	/Popup		1008.0	375.278	1192.0	467.278	
7	/Text		427.004	364.145	451.004	388.145	Mixed
7	/Popup		1008.0	296.145	1192.0	388.145	
7	/Text		411.931	235.081	435.931	259.081	In
7	/Popup		1008.0	167.081	1192.0	259.081	
8	/Text		533.458	529.949	557.458	553.949	In
