"sid","instance","group","apical_class","note","page","match_mode","dist_pt"
"AO_0h_sl6A_sec2a",7,"0h","apical_out","out",4,"by-nearest",20.4
"AO_0h_sl6A_sec2a",8,"0h","apical_out","out",4,"by-nearest",24.6
"AO_0h_sl6A_sec4b",2,"0h","mixed","mixed",8,"by-nearest",15.8
"AO_0h_sl6A_sec4b",3,"0h","mixed","mixed",8,"by-nearest",18.8
"AO_0h_sl6A_sec4b",6,"0h","basolateral_out","in",8,"by-nearest",19.6
"AO_0h_sl6A_sec4b",7,"0h","apical_out","out",8,"by-nearest",13.1
"AO_0h_sl6A_sec5a",1,"0h","apical_out","out",9,"by-nearest",23.3
"AO_0h_sl6A_sec5b",2,"0h","apical_out","out",10,"by-nearest",13.3
"AO_0h_sl6A_sec5b",7,"0h","apical_out","out",10,"by-nearest",14.4
"AO_0h_sl6A_sec5b",9,"0h","apical_out","out",10,"by-nearest",18.7
"AO_20h_sl4A_sec1a",3,"20h","apical_out","out",12,"by-nearest",22.8
"AO_20h_sl4A_sec1a",8,"20h","basolateral_out","in",12,"by-nearest",18.2
"AO_20h_sl4A_sec1a",10,"20h","apical_out","out",12,"by-nearest",22.7
"AO_20h_sl4A_sec1a",12,"20h","apical_out","out",12,"by-nearest",13.2
"AO_20h_sl4A_sec2a",2,"20h","apical_out","out",14,"by-nearest",23.5
"AO_20h_sl4A_sec2b",5,"20h","apical_out","out",15,"by-nearest",23.3
"AO_20h_sl4A_sec2b",7,"20h","apical_out","out",15,"by-nearest",11.2
"AO_20h_sl4A_sec3a",2,"20h","mixed","mixed",16,"by-nearest",11
"AO_20h_sl4A_sec3a",3,"20h","mixed","mixed",16,"by-nearest",24.8
"AO_20h_sl4A_sec3a",5,"20h","apical_out","out",16,"by-nearest",15.3
"AO_20h_sl4A_sec3a",6,"20h","apical_out","out",16,"by-nearest",19.6
"AO_20h_sl4A_sec3b",5,"20h","apical_out","out",17,"by-nearest",13.8
"AO_20h_sl4A_sec5b",4,"20h","apical_out","out",21,"by-nearest",23.1
"AO_20h_sl4A_sec5b",5,"20h","apical_out","out",21,"by-nearest",18
"AO_20h_sl4A_sec5b",7,"20h","apical_out","out",21,"by-nearest",15.3
