page	subtype	color	x_center	y_center_from_top	x0	y0	x1	y1	path	contents
2	/Text	0.588,0.263,0.988	409.09	397.0						in
2	/Popup		896.67	439.85						
2	/Text	0.588,0.263,0.988	519.37	239.05						mixed
2	/Popup		896.67	281.91						
2	/Ink	0.024,0.541,0.11	498.85	275.66	439.72	253.33	566.0	303.54	439.72,253.33;440.48,253.33;442.00,254.09;446.56,254.85;448.85,255.61;449.61,255.61;451.89,256.37;452.65,256.37;453.41,256.37;453.41,257.13;454.17,257.13;454.93,257.13;454.93,258.66;455.69,258.66;456.45,258.66;456.45,259.42;458.74,259.42;459.50,260.18;463.30,261.70;464.82,261.70;465.58,262.46;467.10,263.22;467.10,263.98;468.62,263.98;469.39,263.98;470.15,264.74;471.67,265.50;472.43,265.50;475.47,265.50;476.23,265.50;476.99,265.50;477.75,265.50;478.51,266.26;480.80,266.26;481.56,266.26;482.32,267.02;483.08,267.02;483.84,267.02;484.60,267.02;484.60,267.79;486.88,268.55;486.88,269.31;487.64,269.31;488.40,270.07;491.45,271.59;492.21,271.59;494.49,273.87;495.25,273.87;498.30,276.15;501.34,277.68;502.10,277.68;506.66,279.96;507.42,279.96;511.23,283.00;512.75,283.76;515.79,285.28;516.55,286.04;517.31,286.04;518.84,286.04;520.36,286.81;521.12,288.33;523.40,288.33;524.92,288.33;527.96,289.09;528.73,289.85;531.77,290.61;532.53,290.61;537.09,292.13;542.42,292.89;543.18,292.89;547.74,294.41;551.55,294.41;553.83,295.17;555.35,295.93;556.87,296.69;559.92,298.22;560.68,298.98;561.44,299.74;562.20,300.50;562.96,301.26;562.96,302.02;563.72,302.02;565.24,302.02;565.24,302.78;565.24,303.54;566.00,303.54	stroke1/1 
2	/Popup		1100.0	299.33						
3	/Text	0.588,0.263,0.988	533.6	367.83						out
3	/Popup		1100.0	401.83						
4	/Text	0.588,0.263,0.988	308.78	495.89						mixed
4	/Popup		1100.0	529.89						
4	/Text	0.588,0.263,0.988	498.03	277.47						out
4	/Popup		1100.0	311.47						
4	/Text	0.588,0.263,0.988	646.72	393.44						in
4	/Popup		1100.0	427.44						
4	/Text	0.588,0.263,0.988	787.59	313.76						out
4	/Popup		1100.0	347.76						
4	/Ink	0.024,0.541,0.11	247.23	469.35	240.4	416.13	251.05	516.55	248.77,416.13;248.77,416.89;249.53,420.70;249.53,422.22;250.29,425.26;251.05,426.78;251.05,427.54;251.05,431.35;251.05,432.11;251.05,438.96;251.05,442.00;251.05,445.04;251.05,449.61;251.05,451.89;251.05,454.93;251.05,457.98;251.05,458.74;251.05,463.30;251.05,464.06;251.05,464.82;251.05,467.10;250.29,471.67;249.53,476.23;248.77,477.75;247.25,481.56;247.25,483.08;245.72,488.40;244.96,490.69;244.20,496.01;243.44,496.77;241.92,500.58;241.92,501.34;241.16,503.62;241.16,505.90;241.16,508.18;241.16,510.47;241.16,511.99;240.40,514.27;240.40,515.03;240.40,515.79;240.40,516.55	stroke1/1 
4	/Popup		1100.0	462.13						
5	/Text	0.588,0.263,0.988	543.56	363.56						in
5	/Popup		1100.0	410.37						
5	/Text	0.588,0.263,0.988	709.33	303.08						in
5	/Popup		1100.0	337.08						
5	/Text	0.588,0.263,0.988	510.12	515.81						out
5	/Popup		1100.0	549.81						
