"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
36,160.0611,TRUE,FALSE,"Aminoadipic acid","[M-H]-",87.3,1,-0.3,"Aminoadipic acid (160.0611)"
75,215.035,TRUE,FALSE,"hexose","[M+Cl]-",47.9,1,-0.3,"hexose (215.0350)"
85,229.0135,TRUE,FALSE,"pentose phosphate","[M-H]-",64.2,1,0.7,"pentose phosphate (229.0135)"
98,256.062,TRUE,FALSE,"Hexosamine","[M+Cl]-",47.5,1,-0.6,"Hexosamine (256.0620)"
115,283.0713,TRUE,FALSE,"Xanthosine","[M-H]-",48.1,1,-0.3,"Xanthosine (283.0713)"
143,323.0267,TRUE,FALSE,"Uridine monophosphate","[M-H]-",70.4,1,0.9,"Uridine monophosphate (323.0267)"
145,328.0446,TRUE,FALSE,"Cyclic AMP","[M-H]-",89.9,1,0.9,"Cyclic AMP (328.0446)"
165,364.0209,TRUE,FALSE,"Cyclic-AMP","[M+Cl]-",86.4,1,0,"Cyclic-AMP (364.0209)"
171,383.0484,TRUE,FALSE,"Citric acid (citrate)","[2M-H]-",78.2,1,-0.4,"Citric acid (citrate) (383.0484)"
172,383.1148,TRUE,FALSE,"S-Adenosylhomocysteine","[M-H]-",93.6,1,-0.4,"S-Adenosylhomocysteine (383.1148)"
293,611.146,TRUE,FALSE,"Oxidized glutathione","[M-H]-",88.8,1,-0.6,"Oxidized glutathione (611.1460)"
48,173.0116,TRUE,FALSE,"Aconitate","[M-H]-",29.8,0.9643,0.9,"Aconitate (173.0116)"
84,228.973,TRUE,FALSE,"Citric acid (citrate)","[M+K-2H]-",42.5,0.9643,-0.4,"Citric acid (citrate) (228.9730)"
92,243.0256,TRUE,FALSE,"Fucose phosphate","[M-H]-",60.8,0.9643,0.5,"Fucose phosphate (243.0256)"
118,284.0672,TRUE,FALSE,"Threonylglutamine","[M+K-2H]-",69.1,0.9643,-0.4,"Threonylglutamine (284.0672)"
120,289.0309,TRUE,FALSE,"sedoheptulose phosphate","[M-H]-",63.5,0.9643,-0.1,"sedoheptulose phosphate (289.0309)"
142,322.0411,TRUE,FALSE,"Cytidine monophosphate","[M-H]-",45.8,0.9643,0.7,"Cytidine monophosphate (322.0411)"
158,347.0384,TRUE,FALSE,"Inosine monophosphate","[M-H]-",79,0.9643,0.3,"Inosine monophosphate (347.0384)"
257,509.032,TRUE,FALSE,"CDP-N-dimethylethanolamine","[M+K-2H]-",33.2,0.9643,-0.4,"CDP-N-dimethylethanolamine (509.0320)"
282,558.0706,TRUE,FALSE,"ADP-ribose","[M-H]-",44.3,0.9643,0.1,"ADP-ribose (558.0706)"
294,615.1776,TRUE,FALSE,"heme","[M-H]-",38,0.9643,-0.1,"heme (615.1776)"
