"sid_if","slide","secn","ncc","ang","ov_x","ov_y"
"AO_0h_sl6b_sec1","sl6b",1,0.537,0,4104,4248
"AO_0h_sl6b_sec2","sl6b",2,0.535,0,4056,9032
"AO_0h_sl6b_sec3","sl6b",3,0.619,0,13704,5240
"AO_0h_sl6b_sec4","sl6b",4,0.585,0,12312,10008
"AO_0h_sl6b_sec5","sl6b",5,0.6,0,22280,4632
"AO_0h_sl6b_sec6","sl6b",6,0.471,0,22888,10072
"AO_20h_sl4b_sec1","sl4b",1,0.606,2,6712,3304
"AO_20h_sl4b_sec2","sl4b",2,0.621,2,6536,7560
"AO_20h_sl4b_sec3","sl4b",3,0.615,-2,14872,3992
"AO_20h_sl4b_sec4","sl4b",4,0.616,2,15264,8984
"AO_20h_sl4b_sec5","sl4b",5,0.629,-2,23592,4048
"AO_20h_sl4b_sec6","sl4b",6,0.621,-2,23432,8856
